time,heartRate,hydration
2026-01-25D00:01:47.000000000,50,59.68
2026-01-25D00:06:22.000000000,55,66.99
2026-01-25D00:08:13.000000000,58,67.44
2026-01-25D00:09:29.000000000,55,63.28
2026-01-25D00:12:42.000000000,55,68.23
2026-01-25D00:13:07.000000000,57,62.12
2026-01-25D00:14:54.000000000,60,63.57
2026-01-25D00:17:00.000000000,61,65.67
2026-01-25D00:20:39.000000000,57,64.79
2026-01-25D00:22:11.000000000,64,66.42
2026-01-25D00:23:55.000000000,50,62.32
2026-01-25D00:26:31.000000000,54,63.92
2026-01-25D00:28:46.000000000,53,63.8
2026-01-25D00:31:20.000000000,55,62.48
2026-01-25D00:35:42.000000000,61,66.03
2026-01-25D00:40:40.000000000,52,65.3
2026-01-25D00:43:56.000000000,58,61.54
2026-01-25D00:48:37.000000000,53,63.41
2026-01-25D00:51:22.000000000,52,65.5
2026-01-25D00:51:48.000000000,49,62.53
2026-01-25D00:56:05.000000000,56,62.68
2026-01-25D01:00:05.000000000,49,64.18
2026-01-25D01:00:58.000000000,56,62.68
2026-01-25D01:02:01.000000000,56,64.36
2026-01-25D01:04:55.000000000,55,65.05
2026-01-25D01:08:07.000000000,54,60.25
2026-01-25D01:12:42.000000000,63,64.56
2026-01-25D01:15:56.000000000,53,61.99
2026-01-25D01:18:55.000000000,55,62.5
2026-01-25D01:19:50.000000000,56,63.12
2026-01-25D01:20:49.000000000,60,65.95
2026-01-25D01:24:57.000000000,59,65.76
2026-01-25D01:27:12.000000000,54,63.6
2026-01-25D01:29:31.000000000,60,66.51
2026-01-25D01:29:56.000000000,57,65.76
2026-01-25D01:32:47.000000000,60,65.91
2026-01-25D01:37:25.000000000,53,66.84
2026-01-25D01:38:58.000000000,57,66.58
2026-01-25D01:39:16.000000000,60,65.29
2026-01-25D01:43:22.000000000,58,62.85
2026-01-25D01:47:51.000000000,60,61.92
2026-01-25D01:48:48.000000000,62,63.61
2026-01-25D01:50:24.000000000,59,63.83
2026-01-25D01:54:52.000000000,58,64.2
2026-01-25D01:55:31.000000000,58,59.38
2026-01-25D01:59:01.000000000,58,63.92
2026-01-25D02:00:26.000000000,56,67.25
2026-01-25D02:01:20.000000000,51,68.27
2026-01-25D02:01:26.000000000,55,67.97
2026-01-25D02:02:24.000000000,55,64.78
2026-01-25D02:04:14.000000000,56,63.45
2026-01-25D02:08:38.000000000,58,61.85
2026-01-25D02:11:53.000000000,58,62.64
2026-01-25D02:15:35.000000000,63,64.12
2026-01-25D02:16:23.000000000,57,62.27
2026-01-25D02:19:09.000000000,58,63
2026-01-25D02:22:35.000000000,59,60.52
2026-01-25D02:27:09.000000000,54,62
2026-01-25D02:31:44.000000000,56,59.57
2026-01-25D02:35:23.000000000,59,63.15
2026-01-25D02:39:39.000000000,60,61.37
2026-01-25D02:42:53.000000000,58,62.94
2026-01-25D02:46:30.000000000,56,60.65
2026-01-25D02:50:02.000000000,61,63.8
2026-01-25D02:54:03.000000000,64,61.31
2026-01-25D02:55:00.000000000,63,64
2026-01-25D02:59:44.000000000,67,60.39
2026-01-25D03:03:25.000000000,64,60.1
2026-01-25D03:07:41.000000000,60,60.87
